time	V(pay)/(D(V(Vind,Vtr))/D(time)+10/280e-9*V(Vind,Vtr))	V(vtr)
2.181840418052210e-007	7.294287e-011	5.316495e+002
2.192119096800080e-007	7.425523e-011	5.864609e+002
2.202437895708578e-007	1.153176e-010	6.158899e+002
2.210069775233949e-007	-2.069162e-010	6.183630e+002
2.218745673839627e-007	-5.864180e-011	6.007855e+002
2.227159448831857e-007	-3.156904e-011	5.632658e+002
2.242847625917730e-007	-2.360779e-011	4.539233e+002
2.260568666202700e-007	-1.995422e-011	2.978740e+002
2.265312520995129e-007	-1.857505e-011	2.510494e+002
2.268419540569933e-007	-1.893755e-011	2.198763e+002
2.270145048762335e-007	-2.082590e-011	2.036099e+002
2.272017103920129e-007	-2.357695e-011	1.876163e+002
2.274112009322089e-007	-2.830078e-011	1.721450e+002
2.277788006431304e-007	-3.248276e-011	1.493866e+002
2.280809384001568e-007	-3.892602e-011	1.336740e+002
2.284313868186010e-007	-4.415811e-011	1.180531e+002
2.287865991405161e-007	-4.891800e-011	1.038088e+002
2.292508124597530e-007	-5.249183e-011	8.666956e+001
2.298279505839058e-007	-5.534183e-011	6.666836e+001
2.302399903056427e-007	-6.058358e-011	5.342527e+001
2.304376613783311e-007	-7.401927e-011	4.798895e+001
2.305770021455082e-007	-9.328475e-011	4.494383e+001
2.307008537184926e-007	-1.107479e-010	4.272266e+001
2.308236648469107e-007	-1.235413e-010	4.078382e+001
2.309640426638393e-007	-1.326877e-010	3.874170e+001
2.311267176272765e-007	-1.410381e-010	3.651345e+001
2.314520675541510e-007	-1.458499e-010	3.225905e+001
2.317874780225710e-007	-1.525410e-010	2.804255e+001
2.322603979963687e-007	-1.585608e-010	2.233846e+001
2.327418906931308e-007	-1.671604e-010	1.679280e+001
2.332945164185677e-007	-1.774205e-010	1.077188e+001
2.338721304323094e-007	-1.891905e-010	4.887151e+000
2.345917497274401e-007	-1.927007e-010	-2.036973e+000
2.346005118397255e-007	-2.107536e-010	-2.117585e+000
2.346180360642964e-007	-2.408494e-010	-2.269763e+000
2.346530845134381e-007	-3.367900e-010	-2.525433e+000
2.346947444783907e-007	-9.045318e-010	-2.695186e+000
2.347412658058838e-007	2.046240e-009	-2.707370e+000
2.347836933856554e-007	6.953372e-010	-2.613873e+000
2.348442654176835e-007	6.262415e-010	-2.430218e+000
2.349013894246780e-007	7.003640e-010	-2.262622e+000
2.349943922521652e-007	8.293694e-010	-2.028659e+000
2.350866446774029e-007	1.061995e-009	-1.845255e+000
2.351642894974102e-007	1.453613e-009	-1.730286e+000
2.352441497400049e-007	1.985950e-009	-1.642835e+000
2.353323369577361e-007	2.828993e-009	-1.571851e+000
2.354495924025645e-007	4.256382e-009	-1.506061e+000
2.355920928081187e-007	7.882970e-009	-1.456477e+000
2.357703756075953e-007	2.749883e-008	-1.428022e+000
2.359801828289816e-007	-2.576263e-008	-1.427853e+000
2.362274819597658e-007	-1.103149e-008	-1.458586e+000
2.364836455564628e-007	-8.130081e-009	-1.512178e+000
2.367409416606350e-007	-7.579122e-009	-1.576832e+000
2.369587720503411e-007	-8.003800e-009	-1.632038e+000
